read_ID	identity	length_of_alignement	E-value	reference_ID
SRR27181136.526	100.000	103	1.12e-48	KY935545_country=USA_host=Sus-scrofa-scrofa_segment=4_strain=A-swine-Indiana-16TOSU4068-2016_serotype=H3N2_collection-date=NA
SRR27181136.667	100.000	142	3.48e-70	KY935545_country=USA_host=Sus-scrofa-scrofa_segment=4_strain=A-swine-Indiana-16TOSU4068-2016_serotype=H3N2_collection-date=NA
SRR27181136.3571	100.000	150	1.34e-74	KY935545_country=USA_host=Sus-scrofa-scrofa_segment=4_strain=A-swine-Indiana-16TOSU4068-2016_serotype=H3N2_collection-date=NA
SRR27181136.4942	100.000	151	3.72e-75	KJ739428_country=USA--Oklahoma_host=swine_segment=4_strain=A-swine-Oklahoma-A01410541-2014_serotype=H1N1_collection-date=NA
SRR27181136.7403	100.000	93	3.61e-43	KY935545_country=USA_host=Sus-scrofa-scrofa_segment=4_strain=A-swine-Indiana-16TOSU4068-2016_serotype=H3N2_collection-date=NA
SRR27181136.8130	99.200	125	3.96e-59	KY935545_country=USA_host=Sus-scrofa-scrofa_segment=4_strain=A-swine-Indiana-16TOSU4068-2016_serotype=H3N2_collection-date=NA
SRR27181136.10043	98.148	54	6.11e-20	ON870681_country=China_host=mink_segment=4_strain=A-mink-China-chick-embryo-2018_serotype=H9N2_collection-date=NA
SRR27181136.10259	99.333	150	6.23e-73	KY935545_country=USA_host=Sus-scrofa-scrofa_segment=4_strain=A-swine-Indiana-16TOSU4068-2016_serotype=H3N2_collection-date=NA
SRR27181136.10298	100.000	83	1.12e-37	KY935545_country=USA_host=Sus-scrofa-scrofa_segment=4_strain=A-swine-Indiana-16TOSU4068-2016_serotype=H3N2_collection-date=NA
SRR27181136.10591	98.667	150	2.90e-71	KY935545_country=USA_host=Sus-scrofa-scrofa_segment=4_strain=A-swine-Indiana-16TOSU4068-2016_serotype=H3N2_collection-date=NA
SRR27181136.11378	100.000	98	6.32e-46	KY935545_country=USA_host=Sus-scrofa-scrofa_segment=4_strain=A-swine-Indiana-16TOSU4068-2016_serotype=H3N2_collection-date=NA
SRR27181136.11615	100.000	151	3.72e-75	KY935545_country=USA_host=Sus-scrofa-scrofa_segment=4_strain=A-swine-Indiana-16TOSU4068-2016_serotype=H3N2_collection-date=NA
SRR27181136.12261	99.333	150	6.18e-73	KY935545_country=USA_host=Sus-scrofa-scrofa_segment=4_strain=A-swine-Indiana-16TOSU4068-2016_serotype=H3N2_collection-date=NA
SRR27181136.12356	100.000	41	8.20e-15	KY935545_country=USA_host=Sus-scrofa-scrofa_segment=4_strain=A-swine-Indiana-16TOSU4068-2016_serotype=H3N2_collection-date=NA
SRR27181136.12361	100.000	41	8.20e-15	KY935545_country=USA_host=Sus-scrofa-scrofa_segment=4_strain=A-swine-Indiana-16TOSU4068-2016_serotype=H3N2_collection-date=NA
SRR27181136.13731	100.000	150	1.34e-74	KY935545_country=USA_host=Sus-scrofa-scrofa_segment=4_strain=A-swine-Indiana-16TOSU4068-2016_serotype=H3N2_collection-date=NA
SRR27181136.13795	99.200	125	3.92e-59	KY935545_country=USA_host=Sus-scrofa-scrofa_segment=4_strain=A-swine-Indiana-16TOSU4068-2016_serotype=H3N2_collection-date=NA
SRR27181136.14190	100.000	122	3.80e-59	KY935545_country=USA_host=Sus-scrofa-scrofa_segment=4_strain=A-swine-Indiana-16TOSU4068-2016_serotype=H3N2_collection-date=NA
SRR27181136.14401	99.296	142	1.62e-68	KY935545_country=USA_host=Sus-scrofa-scrofa_segment=4_strain=A-swine-Indiana-16TOSU4068-2016_serotype=H3N2_collection-date=NA
SRR27181136.14598	100.000	93	3.61e-43	KY935545_country=USA_host=Sus-scrofa-scrofa_segment=4_strain=A-swine-Indiana-16TOSU4068-2016_serotype=H3N2_collection-date=NA
SRR27181136.14779	99.338	151	1.73e-73	KY935545_country=USA_host=Sus-scrofa-scrofa_segment=4_strain=A-swine-Indiana-16TOSU4068-2016_serotype=H3N2_collection-date=NA
SRR27181136.16417	99.301	143	4.58e-69	KY935545_country=USA_host=Sus-scrofa-scrofa_segment=4_strain=A-swine-Indiana-16TOSU4068-2016_serotype=H3N2_collection-date=NA
SRR27181136.16799	98.148	54	5.09e-20	ON870681_country=China_host=mink_segment=4_strain=A-mink-China-chick-embryo-2018_serotype=H9N2_collection-date=NA
SRR27181136.17342	100.000	69	5.24e-30	KY935545_country=USA_host=Sus-scrofa-scrofa_segment=4_strain=A-swine-Indiana-16TOSU4068-2016_serotype=H3N2_collection-date=NA
SRR27181136.17773	98.148	54	5.65e-20	ON870681_country=China_host=mink_segment=4_strain=A-mink-China-chick-embryo-2018_serotype=H9N2_collection-date=NA
SRR27181136.18696	100.000	96	7.96e-45	KJ739428_country=USA--Oklahoma_host=swine_segment=4_strain=A-swine-Oklahoma-A01410541-2014_serotype=H1N1_collection-date=NA
SRR27181136.19497	100.000	150	1.34e-74	KY935545_country=USA_host=Sus-scrofa-scrofa_segment=4_strain=A-swine-Indiana-16TOSU4068-2016_serotype=H3N2_collection-date=NA
SRR27181136.19722	98.148	54	5.99e-20	ON870681_country=China_host=mink_segment=4_strain=A-mink-China-chick-embryo-2018_serotype=H9N2_collection-date=NA
SRR27181136.20145	96.875	32	4.03e-08	MT570353_country=Egypt_host=Anas-crecca_segment=4_strain=A-teal-Egypt-MBD1556OP-2018_serotype=H6N2_collection-date=NA
SRR27181136.20431	100.000	114	9.89e-55	KY935545_country=USA_host=Sus-scrofa-scrofa_segment=4_strain=A-swine-Indiana-16TOSU4068-2016_serotype=H3N2_collection-date=NA
SRR27181136.20625	100.000	42	2.39e-15	KM361407_country=USA--North-Dakota_host=swine_segment=4_strain=A-swine-North-Dakota-A01104084-2014_serotype=H3N2_collection-date=NA
SRR27181136.20733	100.000	42	2.39e-15	KM361407_country=USA--North-Dakota_host=swine_segment=4_strain=A-swine-North-Dakota-A01104084-2014_serotype=H3N2_collection-date=NA
SRR27181136.21281	100.000	82	3.97e-37	KY935545_country=USA_host=Sus-scrofa-scrofa_segment=4_strain=A-swine-Indiana-16TOSU4068-2016_serotype=H3N2_collection-date=NA
SRR27181136.22003	100.000	68	1.88e-29	KY935545_country=USA_host=Sus-scrofa-scrofa_segment=4_strain=A-swine-Indiana-16TOSU4068-2016_serotype=H3N2_collection-date=NA
SRR27181136.23398	100.000	125	8.50e-61	KY935545_country=USA_host=Sus-scrofa-scrofa_segment=4_strain=A-swine-Indiana-16TOSU4068-2016_serotype=H3N2_collection-date=NA
SRR27181136.23606	100.000	125	8.50e-61	KY935545_country=USA_host=Sus-scrofa-scrofa_segment=4_strain=A-swine-Indiana-16TOSU4068-2016_serotype=H3N2_collection-date=NA
SRR27181136.24030	98.148	54	5.09e-20	ON870681_country=China_host=mink_segment=4_strain=A-mink-China-chick-embryo-2018_serotype=H9N2_collection-date=NA
SRR27181136.26678	100.000	150	1.34e-74	KY935545_country=USA_host=Sus-scrofa-scrofa_segment=4_strain=A-swine-Indiana-16TOSU4068-2016_serotype=H3N2_collection-date=NA
